operation	family	currentOwner	ownershipClass	replacementTarget	contractScore	authorityScore	evidenceScore	providerSafetyScore	replayScore	bindingScore	rollbackScore	visibilityScore	testScore	nextAction
capability_shadow_trial_evidence_inspect	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding	governance_locked	shadow_trial_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_replacement_candidate_record	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance_locked	candidate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_replacement_candidate_list	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance_locked	candidate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_replacement_candidate_inspect	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance_locked	candidate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_route_binding_record	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance_locked	runtime_route_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_route_binding_list	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance_locked	runtime_route_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_route_binding_inspect	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance_locked	runtime_route_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_route_activate	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance_locked	runtime_route_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_route_disable	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance_locked	runtime_route_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_route_rollback	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance_locked	runtime_route_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_route_event_list	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance_locked	runtime_route_governance_pipeline	3	3	3	3	3	0	0	2	3	none
capability_route_event_inspect	capability_binding	domains::capability::operations::capability_binding + domains::capability_binding::route	governance_locked	runtime_route_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_lifecycle_request	module_lifecycle	domains::capability::operations::module_lifecycle + domains::module_lifecycle	governance_locked	lifecycle_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_lifecycle_decision	module_lifecycle	domains::capability::operations::module_lifecycle + domains::module_lifecycle	governance_locked	lifecycle_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_lifecycle_list	module_lifecycle	domains::capability::operations::module_lifecycle + domains::module_lifecycle	governance_locked	lifecycle_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_lifecycle_inspect	module_lifecycle	domains::capability::operations::module_lifecycle + domains::module_lifecycle	governance_locked	lifecycle_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_program_execution_start	module_program_execution	domains::capability::operations::module_program_execution + module_program_execution pack	module_owned	already_module_owned_template_for_supervised_replacement	3	3	3	3	3	2	2	2	3	none
module_program_execution_status	module_program_execution	domains::capability::operations::module_program_execution + module_program_execution pack	module_owned	already_module_owned_template_for_supervised_replacement	3	3	3	3	3	2	2	2	3	none
module_program_execution_cancel	module_program_execution	domains::capability::operations::module_program_execution + module_program_execution pack	module_owned	already_module_owned_template_for_supervised_replacement	3	3	3	3	3	2	2	2	3	none
module_program_execution_cleanup	module_program_execution	domains::capability::operations::module_program_execution + module_program_execution pack	module_owned	already_module_owned_template_for_supervised_replacement	3	3	3	3	3	2	2	2	3	none
module_runtime_request	module_runtime	domains::capability::operations::module_runtime + domains::module_runtime	governance_locked	runtime_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_runtime_list	module_runtime	domains::capability::operations::module_runtime + domains::module_runtime	governance_locked	runtime_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_runtime_inspect	module_runtime	domains::capability::operations::module_runtime + domains::module_runtime	governance_locked	runtime_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
module_runtime_cancel	module_runtime	domains::capability::operations::module_runtime + domains::module_runtime	governance_locked	runtime_gate_governance_pipeline	3	3	3	3	3	0	0	2	3	none
web_fetch	web	domains::capability::operations::web + domains::web	adapter_replaceable	future_web_adapter_requires_exact_network_authority_robots_source_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
web_robots_check	web	domains::capability::operations::web + domains::web	adapter_replaceable	future_web_adapter_requires_exact_network_authority_robots_source_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
web_source_list	web	domains::capability::operations::web + domains::web	adapter_replaceable	future_web_adapter_requires_exact_network_authority_robots_source_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
web_source_inspect	web	domains::capability::operations::web + domains::web	adapter_replaceable	future_web_adapter_requires_exact_network_authority_robots_source_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
web_source_archive	web	domains::capability::operations::web + domains::web	adapter_replaceable	future_web_adapter_requires_exact_network_authority_robots_source_evidence_provider_safe_refs_replay_idempotency_and_rollback_disable_refs	2	3	3	3	2	2	1	2	3	shadow_trial
web_research_request_record	web_research	domains::capability::operations::web_research + domains::web_research	record_plane	future_live_research_modules_may_produce_records_after_binding_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
web_research_request_list	web_research	domains::capability::operations::web_research + domains::web_research	record_plane	future_live_research_modules_may_produce_records_after_binding_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
web_research_request_inspect	web_research	domains::capability::operations::web_research + domains::web_research	record_plane	future_live_research_modules_may_produce_records_after_binding_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
web_research_review_record	web_research	domains::capability::operations::web_research + domains::web_research	record_plane	future_live_research_modules_may_produce_records_after_binding_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
web_research_review_list	web_research	domains::capability::operations::web_research + domains::web_research	record_plane	future_live_research_modules_may_produce_records_after_binding_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
web_research_review_inspect	web_research	domains::capability::operations::web_research + domains::web_research	record_plane	future_live_research_modules_may_produce_records_after_binding_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
web_research_source_record	web_research	domains::capability::operations::web_research + domains::web_research	record_plane	future_live_research_modules_may_produce_records_after_binding_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
web_research_source_list	web_research	domains::capability::operations::web_research + domains::web_research	record_plane	future_live_research_modules_may_produce_records_after_binding_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
web_research_source_inspect	web_research	domains::capability::operations::web_research + domains::web_research	record_plane	future_live_research_modules_may_produce_records_after_binding_policy	2	3	3	3	2	0	0	2	2	add_binding_policy
